strain_id,strain,receptor_binding_alpha2_6_log2,receptor_binding_alpha2_3_log2,viral_fusion_ph
1,A/chicken/Shanghai/F/1998,3,6,5.4
2,A/Chicken/HongKong/G9/1997,1,5,5.3
3,A/chicken/Hebei/1/1999,1,6,5.4
4,A/chicken/Shandong/ZB/2007,6,7,5.4
5,A/chicken/Shandong/LY/2003,7,1,5.3
6,A/chicken/Tianjin/L2/2001,7,7,5.3
7,A/chicken/Shandong/98,7,5,5.3
8,A/chicken/Shandong/2h/2001,1,7,5.4
9,A/chicken/Anhui/2h/2002,1,7,5.4
10,A/chicken/Shandong/06/2011,7,7,5.4
11,A/chicken/Henan/DY/2009,7,5,5.4
12,A/chicken/Shandong/zc2/2009,1,7,5.4
13,A/chicken/Shandong/22/2008,5,7,5.5
14,A/chicken/Beijing/7/2005,5,1,5.4
15,A/chicken/Jiangsu/TS/2010,7,6,5.5
16,A/chicken/Shandong/F0506-42/2017,2,5,5.6
17,A/Chicken/Hebei/F-CH/2018,7,1,5.5
18,A/chicken/Shandong/qd1115/2012,6,6,5.5
19,A/chicken/Liaoning/0517/2013,7,3,5.4
20,A/chicken/Hebei/YT/2010,7,5,5.5
21,A/chicken/Tianjin/11/2014,7,1,5.6
22,A/chicken/Shandong/M0515-1/2017,7,2,5.2
23,A/Chicken/Shandong/F122402/2021,7,1,5.4
24,A/Chicken/Shandong/F122401/2021,7,1,5.4
25,A/Chicken/Shandong/F0106_BZ/2022,1,1,5.3
26,A/chicken/Shandong/0202-1/2015,7,7,5.4
27,A/chicken/Ningxia/ZW01/2021,5,1,5.4
28,A/Chicken/NingXia/M2309-934/2023,7,1,5.4
29,A/chicken/Ningxia/F0331/2021,1,1,5.3
30,A/chicken/Hebei/M1211-20/2016,7,1,5.3
31,A/Chicken/Guangdong/F0106/2020,7,3,5.5
32,A/chicken/Anhui/M1029TC11/2024,1,1,5.5
33,A/Anhui-Lujiang/39/2018,1,1,5.4
